label,sess_id,sess_dur,sess_pkts,tcp_keep_alive,tcp_keep_alive_ack,http_resp_2xx,http_resp_3xx,http_resp_4xx,http_resp_5xx,http_req_get,http_req_post,http_req_put,http_req_head,http_uri,http_usr_agent,http_duration,http_len_mean,http_len_max,http_len_min,http_time_mean,http_time_max,http_time_min,http_pkt_no,mqtt_topic,mqtt_publish,mqtt_ack,mqtt_ping,mqtt_duration,mqtt_len_mean,mqtt_len_max,mqtt_len_min,mqtt_time_mean,mqtt_time_max,mqtt_time_min,mqtt_pkt_no,dns_qry_name,dns_ipv4,dns_ipv6,dns_qry_cls,dns_no_errors,dns_errors,dns_num_qns,dns_num_ans,dns_duration,dns_len_mean,dns_len_max,dns_len_min,dns_time_mean,dns_time_max,dns_time_min,dns_pkt_no,mdns_qry_name,mdns_num_qns,mdns_num_ans,mdns_duration,mdns_len_mean,mdns_len_max,mdns_len_min,mdns_time_mean,mdns_time_max,mdns_time_min,mdns_pkt_no,quic_rst,quic_payload,quic_duration,quic_len_mean,quic_len_max,quic_len_min,quic_time_mean,quic_time_max,quic_time_min,quic_pkt_no,ssl_duration,ssl_len_mean,ssl_len_max,ssl_len_min,ssl_time_mean,ssl_time_max,ssl_time_min,ssl_pkt_no,bootp_duration,bootp_len_mean,bootp_len_max,bootp_len_min,bootp_time_mean,bootp_time_max,bootp_time_min,bootp_pkt_no,ssdp_duration,ssdp_len_mean,ssdp_len_max,ssdp_len_min,ssdp_time_mean,ssdp_time_max,ssdp_time_min,ssdp_pkt_no,classicstun_duration,classicstun_len_mean,classicstun_len_max,classicstun_len_min,classicstun_time_mean,classicstun_time_max,classicstun_time_min,classicstun_pkt_no,ntp_duration,ntp_len_mean,ntp_len_max,ntp_len_min,ntp_time_mean,ntp_time_max,ntp_time_min,ntp_pkt_no
11,76,899.0018227,4225,0,0,0,0,0,0,0,0,0,0,none,none,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,0,aps1-api.tplinkra.com,0,0,132,0,132,124,4016,14.36878509,159.5465484,162,81,0.3570805,788.9902439,9.06E-06,4140,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,826.6722929,97.62352941,256,60,9.841336821,54.19086933,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,77,889.0274167,4343,0,0,0,0,0,0,0,0,0,0,none,none,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,0,aps1-api.tplinkra.com,0,0,130,0,130,126,4120,8.889733617,159.620979,162,81,0.280315676,3.001176119,9.06E-06,4246,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,826.4052498,96.05319149,256,54,8.886077955,54.20138693,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.069670439,90,90,90,0.034835219,0.069603443,6.70E-05,3
11,78,899.8609159,4094,0,0,0,0,0,0,0,0,0,0,none,none,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,0,aps1-api.tplinkra.com,0,0,124,0,124,124,3880,8.738235274,159.3684664,162,81,0.27383288,3.001143932,9.54E-06,4004,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,880.411315,97.36666667,256,60,9.892261966,54.16957235,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,79,889.023962,4499,0,0,0,0,0,0,0,0,0,0,none,none,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,0,aps1-api.tplinkra.com,0,0,135,0,135,131,4280,8.893143832,159.6181818,162,81,0.280329139,3.001248121,9.06E-06,4411,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,826.8405898,97.62352941,256,60,9.843340354,54.18504453,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.069569826,90,90,90,0.034784913,0.069492817,7.70E-05,3
11,80,854.3792071,3984,0,0,0,0,0,0,0,0,0,0,none,none,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,0,aps1-api.tplinkra.com,0,0,118,0,118,118,3776,9.004341681,159.5454545,162,81,0.281385678,3.00117588,8.58E-06,3894,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,880.4967031,97.36666667,256,60,9.893221384,54.18700194,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,81,892.0141752,4367,0,0,0,0,0,0,0,0,0,0,none,none,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,0,aps1-api.tplinkra.com,0,0,130,0,130,130,4144,8.959102937,159.5333706,162,81,0.2809341,3.149339199,9.06E-06,4274,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,880.5677843,97.36666667,256,60,9.894020048,54.24510908,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.070127964,90,90,90,0.035063982,0.070046902,8.11E-05,3
11,82,872.9576468,4061,0,0,0,0,0,0,0,0,0,0,none,none,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,0,aps1-api.tplinkra.com,0,0,122,0,122,120,3856,8.858079256,159.585693,162,81,0.276816265,3.147480011,9.06E-06,3976,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,826.7647188,97.62352941,256,60,9.842437128,54.16820788,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,83,823.1987541,4119,0,0,0,0,0,0,0,0,0,0,none,none,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,0,aps1-api.tplinkra.com,0,0,122,0,122,122,3904,9.004923844,159.5454545,162,81,0.28140387,3.072594166,9.78E-06,4026,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,880.4490862,97.36666667,256,60,9.892686362,54.17356634,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.069703817,90,90,90,0.034851909,0.069633007,7.08E-05,3
11,84,899.672642,4120,0,0,0,0,0,0,0,0,0,0,none,none,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,0,aps1-api.tplinkra.com,0,0,121,0,121,121,3800,8.781014504,159.3831705,162,81,0.274415163,3.001470327,8.82E-06,3921,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,881.1598704,76.89949749,256,60,4.450302376,54.24800086,0,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,85,889.0913143,4351,0,0,0,0,0,0,0,0,0,0,none,none,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,0,aps1-api.tplinkra.com,0,0,130,0,130,127,4136,8.935396255,159.6020979,162,81,0.280924792,3.001487017,9.54E-06,4263,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,826.3292201,97.62352941,256,60,9.83725262,54.18839717,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.070132971,90,90,90,0.035066485,0.07005477,7.82E-05,3
11,86,855.1009283,4083,0,0,0,0,0,0,0,0,0,0,none,none,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,0,aps1-api.tplinkra.com,0,0,121,0,121,121,3872,9.005539811,159.5454545,162,81,0.281423119,3.14673686,8.58E-06,3993,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,880.6053321,97.36666667,256,60,9.894441934,54.1981442,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,87,801.464834,4119,0,0,0,0,0,0,0,0,0,0,none,none,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,0,aps1-api.tplinkra.com,0,0,122,0,122,122,3904,9.004330436,159.5454545,162,81,0.281385326,3.001756907,8.58E-06,4026,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,881.0402598,97.36666667,256,60,9.899328762,54.21372485,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06984067,90,90,90,0.034920335,0.069760799,7.99E-05,3
11,88,746.227442,3951,0,0,0,0,0,0,0,0,0,0,none,none,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,0,aps1-api.tplinkra.com,0,0,117,0,117,117,3744,9.00438764,159.5454545,162,81,0.281387114,3.001085043,8.82E-06,3861,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,880.6818972,97.36666667,256,60,9.895302215,54.21501112,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,89,692.5116255,3954,0,0,0,0,0,0,0,0,0,0,none,none,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,0,aps1-api.tplinkra.com,0,0,116,0,116,117,3744,9.133909632,159.5454545,162,81,0.282144936,6.046627998,7.87E-06,3861,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,880.420774,97.36666667,256,60,9.892368247,54.2165792,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.069936991,90,90,90,0.034968495,0.069856882,8.01E-05,3
11,90,898.9924469,4135,0,0,0,0,0,0,0,0,0,0,none,none,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,0,aps1-api.tplinkra.com,0,0,125,0,125,125,3920,8.765057301,159.4037647,162,81,0.27541443,3.00158,8.82E-06,4045,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,880.6654668,97.36666667,256,60,9.895117604,54.24418497,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,91,888.9270554,4491,0,0,0,0,0,0,0,0,0,0,none,none,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,0,aps1-api.tplinkra.com,0,0,135,0,135,131,4272,8.872774845,159.6181818,162,81,0.279935999,3.073434114,8.11E-06,4403,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,826.890239,97.62352941,256,60,9.843931417,54.19502807,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06981945,90,90,90,0.034909725,0.069741964,7.75E-05,3
