"","label","sess_dur","sess_pkts","tcp_keep_alive","tcp_keep_alive_ack","http_resp_2xx","http_resp_3xx","http_resp_4xx","http_resp_5xx","http_req_get","http_req_post","http_req_put","http_req_head","http_uri","http_usr_agent","http_duration","http_len_mean","http_len_max","http_len_min","http_time_mean","http_time_max","http_time_min","http_pkt_no","mqtt_topic","mqtt_publish","mqtt_ack","mqtt_ping","mqtt_duration","mqtt_len_mean","mqtt_len_max","mqtt_len_min","mqtt_time_mean","mqtt_time_max","mqtt_time_min","mqtt_pkt_no","dns_qry_name","dns_ipv4","dns_ipv6","dns_qry_cls","dns_no_errors","dns_errors","dns_num_qns","dns_num_ans","dns_duration","dns_len_mean","dns_len_max","dns_len_min","dns_time_mean","dns_time_max","dns_time_min","dns_pkt_no","mdns_qry_name","mdns_num_qns","mdns_num_ans","mdns_duration","mdns_len_mean","mdns_len_max","mdns_len_min","mdns_time_mean","mdns_time_max","mdns_time_min","mdns_pkt_no","quic_rst","quic_payload","quic_duration","quic_len_mean","quic_len_max","quic_len_min","quic_time_mean","quic_time_max","quic_time_min","quic_pkt_no","ssl_duration","ssl_len_mean","ssl_len_max","ssl_len_min","ssl_time_mean","ssl_time_max","ssl_time_min","ssl_pkt_no","bootp_duration","bootp_len_mean","bootp_len_max","bootp_len_min","bootp_time_mean","bootp_time_max","bootp_time_min","bootp_pkt_no","ssdp_duration","ssdp_len_mean","ssdp_len_max","ssdp_len_min","ssdp_time_mean","ssdp_time_max","ssdp_time_min","ssdp_pkt_no","classicstun_duration","classicstun_len_mean","classicstun_len_max","classicstun_len_min","classicstun_time_mean","classicstun_time_max","classicstun_time_min","classicstun_pkt_no","ntp_duration","ntp_len_mean","ntp_len_max","ntp_len_min","ntp_time_mean","ntp_time_max","ntp_time_min","ntp_pkt_no"
"1",4,830.876027584076,17885,0,0,4,0,6,0,10,4,0,0,"/","none",15.9760545662471,219.673549703567,1514,54,0.372054696111852,20.0031459331512,1.38282775878906e-05,17231,"none",0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,3,15.2406005859375,194.666666666667,369,107,7.62030029296875,15.240208864212,0.000391721725463867,3,0,0,0,0,0,0,0,0,0,0,49.0843537516064,161.310408870813,1205,54,0.860963839446714,55.1358714103699,1.57356262207031e-05,463,0,0,0,0,0,0,0,0,64.6644985675812,178.160714285714,346,143,7.3570947414054,180.00109910965,4.00543212890625e-05,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",4,759.463848114014,191,0,0,0,0,0,0,0,0,0,0,"none","none",0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,881.757734060287,153.698412698413,239,66,14.2218989364562,55.1455090045929,0.000952243804931641,63,0,0,0,0,0,0,0,0,69.2534596003019,179.634615384615,346,143,7.53801686947162,179.998307466507,7.43865966796875e-05,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",4,883.112456321716,194,0,0,0,0,0,0,0,0,0,0,"none","none",0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,881.723376274109,168.314814814815,239,66,16.6362901183794,55.2381632328033,0.000998258590698242,54,0,0,0,0,0,0,0,0,59.0845383405685,177.40625,346,143,7.06322676884501,180.001281261444,3.67164611816406e-05,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",4,824.034080505371,184,0,0,0,0,0,0,0,0,0,0,"none","none",0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,826.600414037704,160.545454545455,239,66,15.3074150747723,55.1376712322235,0.00102472305297852,55,0,0,0,0,0,0,0,0,83.0993580818176,179.593406593407,346,143,8.08440339687543,180.000228404999,4.69684600830078e-05,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",4,764.639198064804,173,0,0,0,0,0,0,0,0,0,0,"none","none",0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,826.788884878159,170,239,66,16.8732425485338,55.1514239311218,0.00110554695129395,50,0,0,0,0,0,0,0,0,69.2534702741183,179.68016194332,346,143,7.69979429652548,180.001082658768,0.000107049942016602,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",4,895.370445728302,189,0,0,0,0,0,0,0,0,0,0,"none","none",0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,881.655618667603,162.929824561404,239,66,15.74385033335,55.148975610733,0.00100803375244141,57,0,0,0,0,0,0,0,0,61.0223361968994,178.8,346,143,6.8668735325685,180.001532793045,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",4,856.314854383469,192,0,0,0,0,0,0,0,0,0,0,"none","none",0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,826.611213445663,157.228070175439,239,66,14.7609145258154,55.1530156135559,0.00103664398193359,57,0,0,0,0,0,0,0,0,61.6880190054576,177.8,346,143,7.20005572915774,180.000446557999,4.26769256591797e-05,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",4,797.078194856644,181,0,0,0,0,0,0,0,0,0,0,"none","none",0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,826.807085514069,164.11320754717,239,66,15.9001362598859,55.1572434902191,0.000948667526245117,53,0,0,0,0,0,0,0,0,69.2530233309819,179.634615384615,346,143,7.53766578218715,180.000679969788,3.60012054443359e-05,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",4,737.687368869781,179,0,0,0,0,0,0,0,0,0,0,"none","none",0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,881.672355175018,174.333333333333,239,66,17.6334471035004,55.130717754364,0.00100612640380859,51,0,0,0,0,0,0,0,0,69.2534649188702,179.634615384615,346,143,7.53778647089455,180.004344940186,4.12464141845703e-05,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",4,888.554718971252,193,0,0,0,0,0,0,0,0,0,0,"none","none",0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,826.355493307114,162.296296296296,239,66,15.5916130812663,55.217885017395,0.000923871994018555,54,0,0,0,0,0,0,0,0,58.7724974304438,177.921875,346,143,7.06348072423747,180.001954555511,3.74317169189453e-05,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
