"","label","sess_dur","sess_pkts","tcp_keep_alive","tcp_keep_alive_ack","http_resp_2xx","http_resp_3xx","http_resp_4xx","http_resp_5xx","http_req_get","http_req_post","http_req_put","http_req_head","http_uri","http_usr_agent","http_duration","http_len_mean","http_len_max","http_len_min","http_time_mean","http_time_max","http_time_min","http_pkt_no","mqtt_topic","mqtt_publish","mqtt_ack","mqtt_ping","mqtt_duration","mqtt_len_mean","mqtt_len_max","mqtt_len_min","mqtt_time_mean","mqtt_time_max","mqtt_time_min","mqtt_pkt_no","dns_qry_name","dns_ipv4","dns_ipv6","dns_qry_cls","dns_no_errors","dns_errors","dns_num_qns","dns_num_ans","dns_duration","dns_len_mean","dns_len_max","dns_len_min","dns_time_mean","dns_time_max","dns_time_min","dns_pkt_no","mdns_qry_name","mdns_num_qns","mdns_num_ans","mdns_duration","mdns_len_mean","mdns_len_max","mdns_len_min","mdns_time_mean","mdns_time_max","mdns_time_min","mdns_pkt_no","quic_rst","quic_payload","quic_duration","quic_len_mean","quic_len_max","quic_len_min","quic_time_mean","quic_time_max","quic_time_min","quic_pkt_no","ssl_duration","ssl_len_mean","ssl_len_max","ssl_len_min","ssl_time_mean","ssl_time_max","ssl_time_min","ssl_pkt_no","bootp_duration","bootp_len_mean","bootp_len_max","bootp_len_min","bootp_time_mean","bootp_time_max","bootp_time_min","bootp_pkt_no","ssdp_duration","ssdp_len_mean","ssdp_len_max","ssdp_len_min","ssdp_time_mean","ssdp_time_max","ssdp_time_min","ssdp_pkt_no","classicstun_duration","classicstun_len_mean","classicstun_len_max","classicstun_len_min","classicstun_time_mean","classicstun_time_max","classicstun_time_min","classicstun_pkt_no","ntp_duration","ntp_len_mean","ntp_len_max","ntp_len_min","ntp_time_mean","ntp_time_max","ntp_time_min","ntp_pkt_no"
"1",3,12.4907169342041,346,0,0,0,0,0,0,0,0,0,0,"none","none",0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,882.061576128006,181.89247311828,284,66,9.58762582747833,55.3183250427246,9.5367431640625e-07,186,0,0,0,0,0,0,0,0,832.259525060654,232.958333333333,348,143,21.399179686591,180.00265455246,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",3,132.037361860275,312,0,0,0,0,0,0,0,0,0,0,"none","none",0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,826.763752937317,186.761904761905,284,66,9.96100907153394,55.1566390991211,9.5367431640625e-07,168,0,0,0,0,0,0,0,0,826.668033917745,237.305555555556,348,143,22.0915364825889,179.999139785767,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",3,173.477727174759,350,0,0,0,0,0,0,0,0,0,0,"none","none",0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,881.693406105042,168.647619047619,284,66,8.47782121254848,55.1359729766846,9.5367431640625e-07,210,0,0,0,0,0,0,0,0,799.034596602122,235.021428571429,348,143,22.3869504776692,179.999387264252,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",3,171.163557052612,332,0,0,0,0,0,0,0,0,0,0,"none","none",0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,827.004148244858,181.272727272727,284,66,9.50579480741216,55.2727961540222,9.5367431640625e-07,176,0,0,0,0,0,0,0,0,829.832386175791,233.117374005305,348,143,21.6258517199627,180.000534057617,0,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",3,154.673320055008,314,0,0,0,0,0,0,0,0,0,0,"none","none",0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,881.782803058624,187.101123595506,284,66,10.0202591256662,55.2708010673523,9.5367431640625e-07,178,0,0,0,0,0,0,0,0,719.857761700948,235.259803921569,348,143,21.2336094649001,179.99894618988,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",3,117.852777957916,360,0,0,0,0,0,0,0,0,0,0,"none","none",0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,881.958961009979,172.712871287129,284,66,8.81958961009979,55.1724967956543,0,202,0,0,0,0,0,0,0,0,828.996157884598,233.36767860974,348,143,21.4847112048977,179.999342918396,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",3,117.047884702682,314,0,0,0,0,0,0,0,0,0,0,"none","none",0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,826.543262958527,181.272727272727,284,66,9.50049727538536,55.1205368041992,9.5367431640625e-07,176,0,0,0,0,0,0,0,0,796.806439240774,234.749507049196,348,143,22.5220312712619,179.999256134033,0,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",3,99.1458649635315,338,0,0,0,0,0,0,0,0,0,0,"none","none",0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,881.695626020432,172.712871287129,284,66,8.81695626020431,55.1278669834137,0,202,0,0,0,0,0,0,0,0,716.860987981161,235.259803921569,348,143,21.189013954011,179.999698877335,9.5367431640625e-07,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",3,97.0704081058502,356,0,0,0,0,0,0,0,0,0,0,"none","none",0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,826.765772104263,169.510204081633,284,66,8.52335847530168,55.142028093338,9.5367431640625e-07,196,0,0,0,0,0,0,0,0,832.281713247299,232.958333333333,348,143,21.3995206718257,179.998958110809,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",3,125.186598777771,330,0,0,0,0,0,0,0,0,0,0,"none","none",0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,881.86340713501,177.113402061856,284,66,9.18607715765635,55.1427779197693,9.5367431640625e-07,194,0,0,0,0,0,0,0,0,708.447221676509,235.259803921569,348,143,21.063560834355,179.999190092087,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
