"","label","sess_dur","sess_pkts","tcp_keep_alive","tcp_keep_alive_ack","http_resp_2xx","http_resp_3xx","http_resp_4xx","http_resp_5xx","http_req_get","http_req_post","http_req_put","http_req_head","http_uri","http_usr_agent","http_duration","http_len_mean","http_len_max","http_len_min","http_time_mean","http_time_max","http_time_min","http_pkt_no","mqtt_topic","mqtt_publish","mqtt_ack","mqtt_ping","mqtt_duration","mqtt_len_mean","mqtt_len_max","mqtt_len_min","mqtt_time_mean","mqtt_time_max","mqtt_time_min","mqtt_pkt_no","dns_qry_name","dns_ipv4","dns_ipv6","dns_qry_cls","dns_no_errors","dns_errors","dns_num_qns","dns_num_ans","dns_duration","dns_len_mean","dns_len_max","dns_len_min","dns_time_mean","dns_time_max","dns_time_min","dns_pkt_no","mdns_qry_name","mdns_num_qns","mdns_num_ans","mdns_duration","mdns_len_mean","mdns_len_max","mdns_len_min","mdns_time_mean","mdns_time_max","mdns_time_min","mdns_pkt_no","quic_rst","quic_payload","quic_duration","quic_len_mean","quic_len_max","quic_len_min","quic_time_mean","quic_time_max","quic_time_min","quic_pkt_no","ssl_duration","ssl_len_mean","ssl_len_max","ssl_len_min","ssl_time_mean","ssl_time_max","ssl_time_min","ssl_pkt_no","bootp_duration","bootp_len_mean","bootp_len_max","bootp_len_min","bootp_time_mean","bootp_time_max","bootp_time_min","bootp_pkt_no","ssdp_duration","ssdp_len_mean","ssdp_len_max","ssdp_len_min","ssdp_time_mean","ssdp_time_max","ssdp_time_min","ssdp_pkt_no","classicstun_duration","classicstun_len_mean","classicstun_len_max","classicstun_len_min","classicstun_time_mean","classicstun_time_max","classicstun_time_min","classicstun_pkt_no","ntp_duration","ntp_len_mean","ntp_len_max","ntp_len_min","ntp_time_mean","ntp_time_max","ntp_time_min","ntp_pkt_no"
"1",6,881.961250066757,3214,15,15,0,0,0,0,0,0,0,0,"none","none",0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,"www.google.com",0,0,37,33,4,54,53,0.0329366245785275,108.200772200772,170,70,0.00828561052545771,1.01172518730164,3.98159027099609e-05,107,"none",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2954843044281,1015.35575403377,1434,66,0.0209640030544698,6.12799286842346,-3.95774841308594e-05,3053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",6,849.920784235001,4916,23,23,0,0,0,0,0,0,0,0,"none","none",0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,"www.google.com",0,0,23,21,2,37,37,0.00736943535182787,103.891304347826,170,74,0.00375814714293549,0.00636982917785645,0.00126957893371582,74,"none",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.8839795589447,1104.83433353169,1434,66,0.0445906608103271,45.0986115932465,-1.88350677490234e-05,4789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",6,890.853580713272,3707,25,25,0,0,0,0,0,0,0,0,"none","none",0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,"www.google.com",0,0,26,22,4,41,41,0.00736699654505803,106.980769230769,170,74,0.0037154448338044,0.00718116760253906,0.00131416320800781,82,"none",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.1474394321442,1106.35987132788,1434,66,0.0842640243749068,45.1584877967834,-1.62124633789062e-05,3571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",6,876.349902868271,4503,19,19,0,0,0,0,0,0,0,0,"none","none",0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,"www.google.com",0,0,24,22,2,38,38,0.00712657968203227,105.708333333333,170,74,0.00374915533595615,0.00929069519042969,0.00128006935119629,76,"none",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.72387191653252,1087.14338634787,1434,66,0.00755847448857353,5.45616936683655,-7.15255737304688e-05,4373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",6,844.90554523468,2775,21,21,0,0,0,0,0,0,0,0,"none","none",0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,"www.google.com",0,0,25,21,4,39,39,0.00717628479003906,105.46,170,74,0.00366896311442057,0.00644135475158691,0.00130724906921387,78,"none",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.3955340782801,1036.08876868022,1434,66,0.137750629020742,45.1186289787292,-4.38690185546875e-05,2644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",6,898.553382396698,3597,19,19,0,0,0,0,0,0,0,0,"none","none",0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,"www.google.com",0,0,24,22,2,40,40,6.51234459877014,107.305555555556,170,74,1.30479240020116,156.098263263702,0.00130653381347656,80,"none",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.41596502065659,1086.1707761553,1434,66,0.0103390665071319,5.88641166687012,-2.59876251220703e-05,3463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",6,869.789486646652,4108,23,23,0,0,0,0,0,0,0,0,"none","none",0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,"www.google.com",0,0,26,22,4,40,40,0.00691920060377855,109.826923076923,199,74,0.0037391308026436,0.00843977928161621,0.00132942199707031,80,"none",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.2568771441778,995.538597660981,1434,66,0.0561850825198068,45.1184005737305,-1.59740447998047e-05,3969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",6,841.993203401566,2768,23,23,0,0,0,0,0,0,0,0,"none","none",0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,"www.google.com",0,0,22,20,2,36,36,0.00734990293329412,107.363636363636,170,74,0.00368459296948982,0.00711774826049805,0.00131464004516602,72,"none",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.2825288772583,1085.10606389811,1434,66,0.0974320566530703,45.1220264434814,-2.90870666503906e-05,2642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",6,882.945176839828,3996,19,19,0,0,0,0,0,0,0,0,"none","none",0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,"www.google.com",0,0,27,23,4,42,42,0.00646530257331,104.777777777778,170,74,0.003362152311537,0.00631904602050781,0.00129008293151855,84,"none",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9794979095459,983.53984883516,1434,66,0.00963137264921068,6.46245169639587,-1.85966491699219e-05,3859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",6,885.155657529831,3405,24,24,0,0,0,0,0,0,0,0,"none","none",0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,"www.google.com",0,0,23,21,2,38,38,0.00710636636485224,106.086956521739,194,74,0.00342604042827219,0.00864338874816895,0.000414848327636719,76,"none",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.7384485857827,981.332266510458,1434,66,0.0708115189809308,45.1186366081238,-3.31401824951172e-05,3273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",6,895.943872213364,4351,20,20,0,0,0,0,0,0,0,0,"none","none",0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,"www.google.com",0,0,26,22,4,40,40,0.00704392103048471,106.307692307692,170,74,0.00401739279429118,0.0223469734191895,0.00119829177856445,80,"none",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.05314907431602,1101.79735042601,1434,66,0.0140645359306276,31.3716275691986,-1.85966491699219e-05,4218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",6,879.96895980835,3504,19,19,0,0,0,0,0,0,0,0,"none","none",0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,"www.google.com",0,0,24,22,2,39,39,0.00823745131492615,106.4375,170,74,0.00430992245674133,0.016303539276123,0.00117349624633789,78,"none",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.60691523551941,1078.1080285388,1434,66,0.0136264814007953,6.13189387321472,-3.36170196533203e-05,3374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",6,881.879294633865,3123,22,22,0,0,0,0,0,0,0,0,"none","none",0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,"www.google.com",0,0,26,22,4,40,40,0.00630448414729192,108.288461538462,199,74,0.00333553705459986,0.00703692436218262,0.00118684768676758,80,"none",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.1126679182053,905.061002829472,1434,66,0.544409299830212,45.1176421642303,-1.71661376953125e-05,2988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
